game_id,away_team_id,home_team_id,away_team_rest,home_team_rest
21800537,Minnesota,Miami,1,1
21800538,Chicago,Toronto,1,1
21800539,Oklahoma City,Dallas,1,1
21800540,Philadelphia,Portland,2,3IN4-B2B
21800541,Sacramento,LA Lakers,2,3IN4
21800542,Atlanta,Indiana,3IN4,2
21800543,Orlando,Charlotte,3IN4-B2B,3IN4
21800544,Memphis,Houston,1,1
21800545,Boston,San Antonio,1,3IN4
21800546,Minnesota,New Orleans,3IN4-B2B,3IN4
21800547,Dallas,Oklahoma City,3IN4-B2B,3IN4-B2B
21800548,Golden State,Phoenix,1,3IN4
21800549,Utah,Toronto,2,1
21800550,Detroit,Milwaukee,1,2
21800551,New York,Denver,2,2
21800552,Portland,Sacramento,3IN4,1
21800553,Philadelphia,LA Clippers,1,2
21800554,Dallas,Charlotte,3IN4,1
21800555,Miami,Cleveland,2,3+
21800556,Atlanta,Washington,1,3+
21800557,New Orleans,Brooklyn,1,3+
21800558,Minnesota,Boston,3IN4,1
21800559,Orlando,Chicago,3IN4,2
21800560,Detroit,Memphis,3IN4-B2B,1
21800561,Philadelphia,Phoenix,3IN4-B2B,1
21800562,Oklahoma City,LA Lakers,3IN4,2
21800563,Toronto,San Antonio,1,2
21800564,Denver,Sacramento,1,1
21800565,Houston,Golden State,2,2
21800566,Dallas,Boston,1,1
21800567,Utah,Cleveland,2,1
21800568,Washington,Miami,1,1
21800569,Indiana,Chicago,3+,1
21800570,Brooklyn,Memphis,1,1
21800571,Orlando,Minnesota,1,1
21800572,Atlanta,Milwaukee,1,2
21800573,LA Clippers,Phoenix,2,1
21800574,New York,LA Lakers,2,1
21800575,Oklahoma City,Portland,1,2
21800576,Charlotte,Denver,2,1
21800577,Utah,Detroit,B2B,2
21800578,Dallas,Philadelphia,3IN4-B2B,2
21800579,New Orleans,Cleveland,2,3IN4-B2B
21800580,Toronto,Milwaukee,1,B2B
21800581,Memphis,San Antonio,3IN4-B2B,1
21800582,Houston,Portland,1,B2B
21800583,Golden State,Sacramento,1,1
21800584,Brooklyn,Chicago,1,1
21800585,LA Lakers,Minnesota,1,1
21800586,Orlando,LA Clippers,1,1
21800587,Miami,Atlanta,1,1
21800588,Washington,Oklahoma City,1,1
21800589,Indiana,Toronto,1,3IN4-B2B
21800590,Charlotte,Phoenix,B2B,1
21800591,San Antonio,Detroit,1,1
21800592,Brooklyn,Boston,3IN4-B2B,2
21800593,Denver,Houston,1,1
21800594,Utah,Milwaukee,3IN4,3IN4
21800595,Memphis,New Orleans,3IN4,1
21800596,LA Lakers,Dallas,3IN4-B2B,3IN4
21800597,New York,Portland,2,3IN4
21800598,Orlando,Sacramento,3IN4-B2B,1
21800599,Indiana,Cleveland,1,2
21800600,Washington,Philadelphia,1,2
21800601,Denver,Miami,3IN4-B2B,1
21800602,Atlanta,Toronto,1,3IN4
21800603,Minnesota,Oklahoma City,1,1
21800604,Sacramento,Phoenix,3IN4-B2B,1
21800605,New York,Golden State,B2B,2
21800606,Charlotte,LA Clippers,3IN4,1
21800607,Indiana,Boston,3IN4-B2B,1
21800608,Philadelphia,Washington,B2B,3IN4-B2B
21800609,Atlanta,Brooklyn,3IN4-B2B,3IN4
21800610,Milwaukee,Houston,1,1
21800611,San Antonio,Memphis,1,1
21800612,Cleveland,New Orleans,B2B,1
21800613,Phoenix,Dallas,3IN4-B2B,1
21800614,Orlando,Utah,3IN4,1
21800615,Chicago,Portland,2,1
21800616,Detroit,LA Lakers,1,3IN4
21800617,Boston,Miami,3IN4-B2B,1
21800618,LA Clippers,Denver,1,3IN4
21800619,Oklahoma City,San Antonio,1,3IN4-B2B
21800620,Detroit,Sacramento,3IN4-B2B,3IN4
21800621,Atlanta,Philadelphia,3IN4,3IN4
21800622,Milwaukee,Washington,1,3IN4
21800623,Indiana,New York,3IN4,2
21800624,Brooklyn,Toronto,1,2
21800625,Cleveland,Houston,3IN4,1
21800626,Dallas,Minnesota,1,2
21800627,LA Lakers,Utah,1,1
21800628,Charlotte,Portland,2,1
21800629,Chicago,Golden State,1,2
21800630,Detroit,LA Clippers,3IN4,1
21800631,Memphis,Miami,2,1
21800632,Boston,Orlando,3IN4,2
21800633,New Orleans,Minnesota,2,B2B
21800634,San Antonio,Oklahoma City,3IN4,1
21800635,Denver,Phoenix,1,2
21800636,Charlotte,Sacramento,B2B,1
21800637,Chicago,Utah,3IN4-B2B,3IN4-B2B
21800638,Philadelphia,New York,1,1
21800639,Toronto,Washington,1,1
21800640,Milwaukee,Atlanta,1,1
21800641,Houston,Orlando,1,B2B
21800642,Golden State,Dallas,1,1
21800643,Portland,Denver,1,3IN4-B2B
21800644,Cleveland,LA Lakers,1,1
21800645,Boston,Brooklyn,1,2
