DATASET,GAME ID,DATE,TIME,ROAD TEAM,HOME TEAM,TOTAL GAME MINUTES,ROAD TEAM FINAL SCORE,HOME TEAM FINAL SCORE,ROAD TEAM REST,HOME TEAM REST,BOX SCORE URL
NBA 2018-2019 Regular Season,0021800152,11/6/18,10:00 PM,Milwaukee,Portland,240,103,118,1,3IN4,Box Score
NBA 2018-2019 Regular Season,0021800153,11/7/18,7:00 PM,Oklahoma City,Cleveland,240,95,86,1,1,Box Score
NBA 2018-2019 Regular Season,0021800154,11/7/18,7:00 PM,Detroit,Orlando,240,103,96,1,3IN4,Box Score
NBA 2018-2019 Regular Season,0021800155,11/7/18,7:30 PM,New York,Atlanta,240,112,107,3IN4,B2B,Box Score
NBA 2018-2019 Regular Season,0021800156,11/7/18,7:30 PM,San Antonio,Miami,240,88,95,2,1,Box Score
NBA 2018-2019 Regular Season,0021800157,11/7/18,8:00 PM,Philadelphia,Indiana,240,100,94,2,1,Box Score
NBA 2018-2019 Regular Season,0021800158,11/7/18,8:00 PM,Denver,Memphis,240,87,89,1,3IN4,Box Score
NBA 2018-2019 Regular Season,0021800159,11/7/18,8:00 PM,Chicago,New Orleans,240,98,107,1,1,Box Score
NBA 2018-2019 Regular Season,0021800160,11/7/18,9:00 PM,Dallas,Utah,240,102,117,B2B,1,Box Score
NBA 2018-2019 Regular Season,0021800161,11/7/18,10:00 PM,Toronto,Sacramento,240,114,105,3IN4,2,Box Score
NBA 2018-2019 Regular Season,0021800162,11/7/18,10:30 PM,Minnesota,LA Lakers,240,110,114,3IN4,2,Box Score
NBA 2018-2019 Regular Season,0021800163,11/8/18,8:00 PM,Houston,Oklahoma City,240,80,98,2,3IN4-B2B,Box Score
NBA 2018-2019 Regular Season,0021800164,11/8/18,9:00 PM,Boston,Phoenix,265,116,109,2,1,Box Score
NBA 2018-2019 Regular Season,0021800165,11/8/18,10:00 PM,LA Clippers,Portland,240,105,116,2,1,Box Score
NBA 2018-2019 Regular Season,0021800166,11/8/18,10:30 PM,Milwaukee,Golden State,240,134,111,1,2,Box Score
NBA 2018-2019 Regular Season,0021800167,11/9/18,7:00 PM,Washington,Orlando,240,108,117,2,1,Box Score
NBA 2018-2019 Regular Season,0021800168,11/9/18,7:00 PM,Charlotte,Philadelphia,265,132,133,2,1,Box Score
NBA 2018-2019 Regular Season,0021800169,11/9/18,7:30 PM,Detroit,Atlanta,240,124,109,1,3IN4,Box Score
NBA 2018-2019 Regular Season,0021800170,11/9/18,8:00 PM,Indiana,Miami,240,110,102,1,1,Box Score
NBA 2018-2019 Regular Season,0021800171,11/9/18,9:00 PM,Brooklyn,Denver,240,112,110,2,1,Box Score
NBA 2018-2019 Regular Season,0021800172,11/9/18,9:30 PM,Boston,Utah,240,115,123,B2B,1,Box Score
NBA 2018-2019 Regular Season,0021800173,11/9/18,10:00 PM,Minnesota,Sacramento,240,110,121,1,1,Box Score
NBA 2018-2019 Regular Season,0021800174,11/10/18,3:00 PM,New York,Toronto,240,112,128,2,2,Box Score
NBA 2018-2019 Regular Season,0021800175,11/10/18,3:30 PM,Milwaukee,LA Clippers,265,126,128,1,1,Box Score
NBA 2018-2019 Regular Season,0021800176,11/10/18,7:00 PM,Phoenix,New Orleans,240,99,119,1,2,Box Score
NBA 2018-2019 Regular Season,0021800177,11/10/18,8:00 PM,Washington,Miami,240,116,110,B2B,3IN4-B2B,Box Score
NBA 2018-2019 Regular Season,0021800178,11/10/18,8:00 PM,Cleveland,Chicago,240,98,99,2,2,Box Score
NBA 2018-2019 Regular Season,0021800179,11/10/18,8:00 PM,Philadelphia,Memphis,265,106,112,3IN4-B2B,2,Box Score
NBA 2018-2019 Regular Season,0021800180,11/10/18,8:30 PM,Houston,San Antonio,240,89,96,1,2,Box Score
NBA 2018-2019 Regular Season,0021800181,11/10/18,9:00 PM,Oklahoma City,Dallas,240,96,111,3IN4,2,Box Score
NBA 2018-2019 Regular Season,0021800182,11/10/18,8:30 PM,Brooklyn,Golden State,240,100,116,B2B,1,Box Score
NBA 2018-2019 Regular Season,0021800183,11/10/18,10:00 PM,LA Lakers,Sacramento,240,101,86,2,3IN4-B2B,Box Score
NBA 2018-2019 Regular Season,0021800184,11/11/18,3:30 PM,Charlotte,Detroit,240,113,103,1,1,Box Score
NBA 2018-2019 Regular Season,0021800185,11/11/18,7:00 PM,Indiana,Houston,240,103,115,1,3IN4-B2B,Box Score
NBA 2018-2019 Regular Season,0021800186,11/11/18,7:30 PM,Orlando,New York,240,115,89,1,B2B,Box Score
NBA 2018-2019 Regular Season,0021800187,11/11/18,8:00 PM,Milwaukee,Denver,240,121,114,3IN4-B2B,1,Box Score
NBA 2018-2019 Regular Season,0021800188,11/11/18,9:00 PM,Boston,Portland,240,94,100,3IN4,2,Box Score
NBA 2018-2019 Regular Season,0021800189,11/11/18,9:30 PM,Atlanta,LA Lakers,240,106,107,1,B2B,Box Score
NBA 2018-2019 Regular Season,0021800190,11/12/18,7:00 PM,Orlando,Washington,240,109,117,3IN4-B2B,3IN4,Box Score
NBA 2018-2019 Regular Season,0021800191,11/12/18,7:30 PM,Philadelphia,Miami,240,124,114,3IN4,3IN4,Box Score
NBA 2018-2019 Regular Season,0021800192,11/12/18,7:30 PM,New Orleans,Toronto,240,126,110,1,1,Box Score
NBA 2018-2019 Regular Season,0021800193,11/12/18,8:00 PM,Dallas,Chicago,240,103,98,1,1,Box Score
NBA 2018-2019 Regular Season,0021800194,11/12/18,8:00 PM,Utah,Memphis,240,96,88,2,1,Box Score
NBA 2018-2019 Regular Season,0021800195,11/12/18,8:00 PM,Brooklyn,Minnesota,240,113,120,3IN4,2,Box Score
NBA 2018-2019 Regular Season,0021800196,11/12/18,8:00 PM,Phoenix,Oklahoma City,240,101,118,1,1,Box Score
NBA 2018-2019 Regular Season,0021800197,11/12/18,10:00 PM,San Antonio,Sacramento,240,99,104,1,3IN4,Box Score
NBA 2018-2019 Regular Season,0021800198,11/12/18,10:30 PM,Golden State,LA Clippers,265,116,121,1,1,Box Score
NBA 2018-2019 Regular Season,0021800199,11/13/18,7:00 PM,Charlotte,Cleveland,240,89,113,1,2,Box Score
NBA 2018-2019 Regular Season,0021800200,11/13/18,9:00 PM,Houston,Denver,240,109,99,3IN4,1,Box Score
NBA 2018-2019 Regular Season,0021800201,11/13/18,10:30 PM,Atlanta,Golden State,240,103,110,1,3IN4-B2B,Box Score
NBA 2018-2019 Regular Season,0021800202,11/14/18,7:00 PM,Philadelphia,Orlando,240,106,111,1,3IN4,Box Score
NBA 2018-2019 Regular Season,0021800203,11/14/18,7:00 PM,Cleveland,Washington,240,95,119,B2B,1,Box Score
NBA 2018-2019 Regular Season,0021800204,11/14/18,7:30 PM,Chicago,Boston,240,82,111,1,2,Box Score
NBA 2018-2019 Regular Season,0021800205,11/14/18,7:30 PM,Miami,Brooklyn,240,120,107,1,1,Box Score
NBA 2018-2019 Regular Season,0021800206,11/14/18,7:30 PM,Detroit,Toronto,240,106,104,2,1,Box Score
NBA 2018-2019 Regular Season,0021800207,11/14/18,8:00 PM,Memphis,Milwaukee,240,116,113,1,2,Box Score
NBA 2018-2019 Regular Season,0021800208,11/14/18,8:00 PM,New Orleans,Minnesota,240,100,107,1,1,Box Score
NBA 2018-2019 Regular Season,0021800209,11/14/18,8:00 PM,New York,Oklahoma City,240,103,128,2,1,Box Score
NBA 2018-2019 Regular Season,0021800210,11/14/18,8:30 PM,Utah,Dallas,240,68,118,1,1,Box Score
NBA 2018-2019 Regular Season,0021800211,11/14/18,9:00 PM,San Antonio,Phoenix,240,96,116,1,1,Box Score
NBA 2018-2019 Regular Season,0021800212,11/14/18,10:30 PM,Portland,LA Lakers,240,117,126,2,2,Box Score
NBA 2018-2019 Regular Season,0021800213,11/15/18,8:00 PM,Golden State,Houston,240,86,107,3IN4,1,Box Score
NBA 2018-2019 Regular Season,0021800214,11/15/18,9:00 PM,Atlanta,Denver,240,93,138,1,1,Box Score
